fold,train_end,regime,method,rmse,mae
0,1300,pre-drought,demand_only,0.0,0.0
0,1300,pre-drought,joint,7.27190352017103e-14,7.271516722084926e-14
0,1300,pre-drought,separate_cascade,0.8219102285716918,0.5217975608657827
1,1400,pre-drought,demand_only,0.0,0.0
1,1400,pre-drought,joint,1.775792534426215e-13,1.7757351145064604e-13
1,1400,pre-drought,separate_cascade,1.1310498045352573,0.7220359135635762
2,1500,drought,demand_only,0.0,0.0
2,1500,drought,joint,1.8240795496663903e-13,1.8240520205381472e-13
2,1500,drought,separate_cascade,0.9957902737157339,0.6771186296806171
3,1600,drought,demand_only,0.5444660020554739,0.14815504746578945
3,1600,drought,joint,0.5444660020555362,0.14815504746602023
3,1600,drought,separate_cascade,1.1304491722056789,0.8203314364411182
4,1700,drought,demand_only,7.789853349323094,7.5422412893286435
4,1700,drought,joint,7.760324031699341,7.509272327612381
4,1700,drought,separate_cascade,6.644140767440708,6.447789064677239
5,1800,post-drought,demand_only,2.2822523458836677,0.6426661199905496
5,1800,post-drought,joint,2.680411048411215,2.4810859462521786
5,1800,post-drought,separate_cascade,3.3185753674325906,3.073872815744665
6,1900,post-drought,demand_only,0.0,0.0
6,1900,post-drought,joint,0.9271438880931762,0.8114100524575646
6,1900,post-drought,separate_cascade,0.7574257208008113,0.4260887591805716
7,2000,post-drought,demand_only,0.0,0.0
7,2000,post-drought,joint,0.6094112368560701,0.4873470534479739
7,2000,post-drought,separate_cascade,1.1280655870260712,0.7737669916409681
