fold,train_end,regime,method,rmse,mae
0,1300,pre-drought,M_naive_calendar,0.7675304560491361,0.626621697982872
0,1300,pre-drought,M_structural_esp,0.6973711135337151,0.5511114922959388
0,1300,pre-drought,naive_persistence,2.7203455956959006,2.3431304246186464
1,1400,pre-drought,M_naive_calendar,0.6841464886800407,0.5461796956346879
1,1400,pre-drought,M_structural_esp,0.7014483742469939,0.5627408366860958
1,1400,pre-drought,naive_persistence,2.147652398155126,1.752048482402747
2,1500,drought,M_naive_calendar,0.7824480461498957,0.6163218244348698
2,1500,drought,M_structural_esp,0.7153945727568464,0.5606460619112288
2,1500,drought,naive_persistence,1.4565629848200476,1.1762279897369232
3,1600,drought,M_naive_calendar,8.590781869725921,7.885612537532073
3,1600,drought,M_structural_esp,3.8297215266573166,3.4261499946126053
3,1600,drought,naive_persistence,10.749790890972072,9.822206823433595
4,1700,drought,M_naive_calendar,3.572170650212698,3.318359964046504
4,1700,drought,M_structural_esp,6.209810396472964,5.724006148929268
4,1700,drought,naive_persistence,0.3277516282811486,0.29284414786989066
5,1800,post-drought,M_naive_calendar,4.168708650336877,3.856560779061003
5,1800,post-drought,M_structural_esp,1.1544824057330423,0.9511126395680107
5,1800,post-drought,naive_persistence,9.7373502907948,9.36340759616383
6,1900,post-drought,M_naive_calendar,1.7281872949959658,1.4410488850837135
6,1900,post-drought,M_structural_esp,0.6566560131426097,0.5515703952192942
6,1900,post-drought,naive_persistence,1.1337084651946476,0.9440811620783475
7,2000,post-drought,M_naive_calendar,2.4758108423911542,2.244001094431556
7,2000,post-drought,M_structural_esp,0.6124315740640701,0.48679723333567054
7,2000,post-drought,naive_persistence,2.4835412749878363,2.0761870096910386
