fold,method,rmse,mae,fit_seconds
0,M1_ols_harmonic,4.906135930277071,4.365187740728322,0.009952068328857422
0,M2_dynamic_harmonic_regression,4.887579957157435,4.338778772543309,5.369758129119873
0,M3_structural_state_space,3.120739822309603,2.5478943916102605,4.753637790679932
0,M5_seasonal_arima_weekly_only,16.03428623567199,12.301838781419585,0.5575790405273438
0,naive_persistence,16.83873101638258,13.661623108665264,0.0
1,M1_ols_harmonic,7.943116777617565,7.605771058847328,0.04130291938781738
1,M2_dynamic_harmonic_regression,8.164281534312888,7.579875432228707,6.611815929412842
1,M3_structural_state_space,3.087773509297565,2.6166196752584314,4.758930444717407
1,M5_seasonal_arima_weekly_only,9.595510465817815,9.063271521543868,0.7039530277252197
1,naive_persistence,6.225353466243506,5.050753910130593,0.0
2,M1_ols_harmonic,8.159484291853161,7.881688300904116,0.010688543319702148
2,M2_dynamic_harmonic_regression,7.774165392603103,7.380590838153316,5.090619325637817
2,M3_structural_state_space,2.7059849522551187,2.177951717385836,3.9641919136047363
2,M5_seasonal_arima_weekly_only,5.437522870831643,4.302677733103445,0.6656293869018555
2,naive_persistence,6.356191556694654,5.228452485459568,0.0
3,M1_ols_harmonic,9.166873521463184,8.89121980978466,0.008885860443115234
3,M2_dynamic_harmonic_regression,8.772108623316374,7.557351278472913,2.3981680870056152
3,M3_structural_state_space,1.899832002161323,1.5501384827288944,5.88927435874939
3,M5_seasonal_arima_weekly_only,14.653454591598088,11.790676757779684,0.924485445022583
3,naive_persistence,9.067174515361051,7.430741643778848,0.0
