fold,method,rmse,mae,mase
0,A_baseline_raw,0.7112857878545372,0.5253602930156553,0.18191751342917475
0,B_single_stage_full_features,0.6274609999636924,0.5172231547459593,0.17909985099801654
0,C_two_stage_smoothed_residual,2.304964030579135,1.9883712547001193,0.6885171171821222
0,E_two_stage_slow_feature_residual,5.463203316913181,4.402646612065316,1.5245128625479047
0,D_stl_classical,2.589195001443756,2.0399156746709233,0.7063655020655955
0,naive_seasonal_lag7,3.534673864675818,2.887903880789311,1.0
1,A_baseline_raw,1.7460632109508667,1.0436050791880571,0.3680484179337605
1,B_single_stage_full_features,2.271317207090645,1.423327321572817,0.5019651392597083
1,C_two_stage_smoothed_residual,3.285213485542956,2.847458775373521,1.0042138719976255
1,E_two_stage_slow_feature_residual,5.8460053690807205,5.140984722510291,1.8130721395239435
1,D_stl_classical,3.5113214917863202,2.8870067744103203,1.018161272952462
1,naive_seasonal_lag7,3.414276306254387,2.8355102979300946,1.0
2,A_baseline_raw,3.9524050772950288,2.956161709102818,1.1312305102246503
2,B_single_stage_full_features,2.8889051126999186,1.9967403229569085,0.7640899912103267
2,C_two_stage_smoothed_residual,4.4765521163812645,3.9419354001325466,1.5084552310630903
2,E_two_stage_slow_feature_residual,12.374184810886625,11.431749644468733,4.3745725896022165
2,D_stl_classical,3.313581345560438,2.674531289067,1.0234593680808088
2,naive_seasonal_lag7,3.2830601573591305,2.613226643361799,1.0
3,A_baseline_raw,0.9510001247525004,0.7532429111860263,0.25963091817477546
3,B_single_stage_full_features,1.0435983394721597,0.8256906546356512,0.28460250950631516
3,C_two_stage_smoothed_residual,3.8469609913385443,3.2146098611104637,1.10802517676489
3,E_two_stage_slow_feature_residual,5.245618034838622,4.463397259099416,1.5384624419951072
3,D_stl_classical,3.401747881221644,2.8076677785466306,0.9677586771125488
3,naive_seasonal_lag7,3.608186381079363,2.9012065145452612,1.0
4,A_baseline_raw,0.6985071585296273,0.5543107568503625,0.20016350569275526
4,B_single_stage_full_features,0.6867047671577425,0.5123742956289896,0.1850201064520216
4,C_two_stage_smoothed_residual,1.6258933646529652,1.3320575148037945,0.48101051378204446
4,E_two_stage_slow_feature_residual,2.0690582832074464,1.7211019417094335,0.6214957838174651
4,D_stl_classical,3.192329399460196,2.5355806126545914,0.9156068110230384
4,naive_seasonal_lag7,3.5078977867874404,2.7692898110068684,1.0
