frac,seed,coef,theory,var_eps
0.0,0,0.03668220361370112,0.03814960751253405,0.08924113102581094
0.0,1,0.04053955705306444,0.03798869092863195,0.0888498438463584
0.0,2,0.03864590303791939,0.03832471689924682,0.08966707841889193
0.0,3,0.03843558072969669,0.038272148240094575,0.08953919072077644
0.0,4,0.03699109967271856,0.038307111283273736,0.08962424636661123
0.0,5,0.03879522629211776,0.03892392478235936,0.09112580472932477
0.0,6,0.03870237677411896,0.039017733639192226,0.09135433999280601
0.0,7,0.03763943880298314,0.037831114431892424,0.08846680530674123
0.0,8,0.0357737281779666,0.03802957385746811,0.08894924298496587
0.0,9,0.039010987943932506,0.038708903885259646,0.09060214340260411
0.005,0,0.07247872006341646,0.07113951072686528,0.172322863319014
0.005,1,0.06685763963937,0.06895165679885636,0.1666306899424986
0.005,2,0.06478984942713932,0.06550029745639495,0.15770542128129983
0.005,3,0.07042229771389916,0.07321320362525709,0.17774283017538867
0.005,4,0.07462776281738162,0.07711065532964086,0.18799542490509832
0.005,5,0.08814182057593631,0.0875208088282342,0.21580965546255204
0.005,6,0.08095331653604232,0.0788608385304437,0.19262766595486086
0.005,7,0.06388519448391348,0.06694247322116582,0.16142687929179014
0.005,8,0.07330449761080075,0.07151890836873113,0.17331267731788216
0.005,9,0.06841451506775964,0.0710106977216035,0.17198698572927948
0.01,0,0.10841337786266293,0.10697046195993831,0.2695135257654423
0.01,1,0.09634142400199237,0.09600591737288212,0.23895434521122477
0.01,2,0.09051074275723739,0.08928346845672061,0.2205821428180309
0.01,3,0.10380621752566357,0.10408881324959067,0.26140965005811945
0.01,4,0.1134445088814038,0.11616306529611796,0.29571845965436255
0.01,5,0.10737883693025589,0.11190449818867947,0.28351131202781565
0.01,6,0.10556355009960028,0.10687840329932217,0.2692538264798769
0.01,7,0.0913784091353863,0.09352854158983423,0.23215206240051983
0.01,8,0.10371943274838273,0.10652585328337637,0.26825977088245323
0.01,9,0.09392533356442871,0.09473326933706071,0.23545530702569178
0.02,0,0.16329502096190884,0.15804098630982075,0.422339108454448
0.02,1,0.1608196316896517,0.16334674455893974,0.4392861354060743
0.02,2,0.136687383896632,0.13650146025268495,0.35567898662389846
0.02,3,0.15803261303444083,0.16039328202241257,0.4298261040832475
0.02,4,0.16359352849905057,0.16504564460531312,0.4447580852325926
0.02,5,0.1779684995493454,0.18177979077192574,0.49987096948228177
0.02,6,0.16211018049345421,0.16267108653381732,0.4371160947804426
0.02,7,0.15075958709030776,0.15438963970597033,0.4107999448086775
0.02,8,0.1653125467985368,0.1666228433754736,0.4498580200029713
0.02,9,0.14884373086266542,0.15306396032170944,0.406635087644475
0.05,0,0.2738257724265312,0.27472507344271047,0.8522718663117501
0.05,1,0.27966203683838353,0.2809169971838044,0.87898509794859
0.05,2,0.25546013230095055,0.2572725479981366,0.7793750337833951
0.05,3,0.2825044255164996,0.2853498084459729,0.8983934750053187
0.05,4,0.2953364859478923,0.29749042176930124,0.9528033064925945
0.05,5,0.31172967908703314,0.3151168990435008,1.0352321759110106
0.05,6,0.28770459798520004,0.2884730493089223,0.9122133185744615
0.05,7,0.26755157509804145,0.2724280372050515,0.8424776036677998
0.05,8,0.27855714361002615,0.2827831338018812,0.887126448136924
0.05,9,0.2870356360685844,0.2890524447056762,0.9147904029552881
0.1,0,0.4299879098192962,0.43100062139362866,1.7043101180722553
0.1,1,0.42405512412116414,0.4245976572344183,1.66030733240627
0.1,2,0.41550598446289566,0.4158436377236436,1.6017084556472838
0.1,3,0.41660444457366425,0.4170822952021171,1.609893054338005
0.1,4,0.437800033986659,0.43897228673523797,1.7604970695773319
0.1,5,0.4469677144112968,0.44876394739916436,1.8317359267124778
0.1,6,0.4384044670762802,0.43798544196346323,1.753455013444201
0.1,7,0.4146010896938597,0.41781251354716725,1.6147343894470476
0.1,8,0.4290665765656512,0.43388995234144373,1.7244922551826276
0.1,9,0.43076693735668115,0.4335478959920914,1.7220922282399826
0.2,0,0.5976499158732884,0.5985393287455134,3.3545340455621386
0.2,1,0.5872696439338313,0.5885877841833013,3.2189674090826426
0.2,2,0.5731843888297327,0.5735836622169934,3.0265332859853347
0.2,3,0.5843382625936788,0.5862374014389299,3.1879008828365794
0.2,4,0.5978226070513939,0.5970390327910836,3.3336673601030955
0.2,5,0.6021710413322742,0.6035234394744619,3.4249886979890487
0.2,6,0.5981446493848914,0.5973868883277406,3.3384916183047086
0.2,7,0.5936154372922537,0.5943788981242172,3.297048685571193
0.2,8,0.5926443809749303,0.5975016874685706,3.3400855480588048
0.2,9,0.5943422383588889,0.5952106932348432,3.3084472277212695
