eps_sigma,u_sigma,fitted,theory
0.2,0.3,0.30419614351299773,0.30769230769230776
0.2,0.8,0.05761123230817844,0.058823529411764705
0.2,1.5,0.016960595191985853,0.017467248908296946
0.2,3.0,0.0042252592749935335,0.004424778761061949
0.2,6.0,0.0010251622059203726,0.001109877913429523
0.4,0.3,0.6370674071645518,0.6400000000000001
0.4,0.8,0.19737906222853235,0.2
0.4,1.5,0.06501990242719319,0.06639004149377595
0.4,3.0,0.01689173398521449,0.017467248908296946
0.4,6.0,0.004179311394992309,0.004424778761061949
0.8,0.3,0.8756386369126177,0.8767123287671234
0.8,0.8,0.4971530591493675,0.5
0.8,1.5,0.21880270115311126,0.22145328719723187
0.8,3.0,0.0649960307976764,0.06639004149377595
0.8,6.0,0.016857303381828375,0.017467248908296946
1.5,0.3,0.9612521793786183,0.9615384615384616
1.5,0.8,0.7773208256000602,0.7785467128027681
1.5,1.5,0.49734656141192857,0.5
1.5,3.0,0.19749484875185233,0.2
1.5,6.0,0.05751598001865966,0.058823529411764705
3.0,0.3,0.9900518616576829,0.9900990099009901
3.0,0.8,0.933544774021803,0.933609958506224
3.0,1.5,0.7991337970888835,0.8
3.0,3.0,0.49745713413339265,0.5
3.0,6.0,0.19751590084700218,0.2
